# Wavelength (nm),Intensity (norm)
4.000000000000000000e+02,0.000000000000000000e+00
4.010000000000000000e+02,0.000000000000000000e+00
4.020000000000000000e+02,0.000000000000000000e+00
4.030000000000000000e+02,0.000000000000000000e+00
4.040000000000000000e+02,0.000000000000000000e+00
4.050000000000000000e+02,0.000000000000000000e+00
4.060000000000000000e+02,0.000000000000000000e+00
4.070000000000000000e+02,0.000000000000000000e+00
4.080000000000000000e+02,0.000000000000000000e+00
4.090000000000000000e+02,0.000000000000000000e+00
4.100000000000000000e+02,0.000000000000000000e+00
4.110000000000000000e+02,0.000000000000000000e+00
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,0.000000000000000000e+00
4.160000000000000000e+02,0.000000000000000000e+00
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,0.000000000000000000e+00
4.190000000000000000e+02,0.000000000000000000e+00
4.200000000000000000e+02,0.000000000000000000e+00
4.210000000000000000e+02,0.000000000000000000e+00
4.220000000000000000e+02,0.000000000000000000e+00
4.230000000000000000e+02,0.000000000000000000e+00
4.240000000000000000e+02,0.000000000000000000e+00
4.250000000000000000e+02,0.000000000000000000e+00
4.260000000000000000e+02,0.000000000000000000e+00
4.270000000000000000e+02,0.000000000000000000e+00
4.280000000000000000e+02,0.000000000000000000e+00
4.290000000000000000e+02,0.000000000000000000e+00
4.300000000000000000e+02,0.000000000000000000e+00
4.310000000000000000e+02,0.000000000000000000e+00
4.320000000000000000e+02,0.000000000000000000e+00
4.330000000000000000e+02,0.000000000000000000e+00
4.340000000000000000e+02,0.000000000000000000e+00
4.350000000000000000e+02,0.000000000000000000e+00
4.360000000000000000e+02,0.000000000000000000e+00
4.370000000000000000e+02,0.000000000000000000e+00
4.380000000000000000e+02,0.000000000000000000e+00
4.390000000000000000e+02,-1.326717801368401694e-04
4.400000000000000000e+02,-3.243087958900537173e-04
4.410000000000000000e+02,-3.542264899233303860e-04
4.420000000000000000e+02,-2.502002607889905646e-04
4.430000000000000000e+02,-5.285927992509211533e-05
4.440000000000000000e+02,2.204595749537541195e-04
4.450000000000000000e+02,5.325151024056280378e-04
4.460000000000000000e+02,8.782121131785256473e-04
4.470000000000000000e+02,1.281147288925234056e-03
4.480000000000000000e+02,1.718425363656229466e-03
4.490000000000000000e+02,2.133349122685169411e-03
4.500000000000000000e+02,2.524338726487488326e-03
4.510000000000000000e+02,2.882265845747420188e-03
4.520000000000000000e+02,3.207080851998225183e-03
4.530000000000000000e+02,3.474397970965944528e-03
4.540000000000000000e+02,3.694051910476281019e-03
4.550000000000000000e+02,3.883015606154417536e-03
4.560000000000000000e+02,4.040097974798585040e-03
4.570000000000000000e+02,4.212843087545992127e-03
4.580000000000000000e+02,4.367404330079752671e-03
4.590000000000000000e+02,4.431691391612911993e-03
4.600000000000000000e+02,4.609270317020822301e-03
4.610000000000000000e+02,4.974759160329751684e-03
4.620000000000000000e+02,5.363255760819482000e-03
